cell,rho,alpha_b,seed,N,pi_c,n_complier,EU_complier,EU_pop,NIE_pop,NDE_pop,ATE_pop,kappa_pop,NIE_LATE,NDE_LATE,tau_LATE_true,D_true,kappa_LATE_true,kappa_recon_from_tau_D,claim1_kappa_eq_1_tau_D,tau_LATE_lt0,D_L,D_U,D_contains_D_true,kap_L_ident,kap_U_ident,ident_covers_LATE,ident_all_lt1,tau_IV_IPSW,SE_tau_IPSW,CI_L_IPSW,CI_U_IPSW,FS_IPSW,RF_IPSW,tau_IPSW_covers_true,tau_IV_C1_raw,SE_tau_C1_raw,CI_L_C1_raw,CI_U_C1_raw,FS_C1_raw,tau_IV_used_for_bounds,c_IM,kap_L_from_IV,kap_U_from_IV,im_ci_L,im_ci_U,im_ci_covers_LATE,im_ci_all_lt1,n_C1,crash_rate
T2-a,0.5,0.3,42,1000000,0.338096,338096,-0.03922639936543161,9.750249789376471e-05,0.0022870488497791284,-0.06922375666227615,-0.06693670781249703,0.033038496609437376,0.0021980478461691324,-0.0652463828858182,-0.06304833503964907,0.0652463828858182,0.03368842453712319,0.033688424537123174,1,1,0.014462162695197902,0.143609134269791,1,-3.3595371154677993,0.5609726682064425,1,1,-0.064529461813516,0.0030092554277951346,-0.07042760245199446,-0.05863132117503754,0.339794250673244,-0.02192674012327138,1,-0.08194470102065717,0.0031045139864760572,-0.08802954843415024,-0.07585985360716409,0.34148507077181617,-0.064529461813516,1.6448536269514866,-3.461951035507485,0.5506590709453908,-3.804208608538096,0.5851261313451379,1,1,102296,0.102296
T2-a,0.5,0.3,123,1000000,0.338463,338463,-0.03687387082420459,0.0005457520460580734,0.0022867075404419007,-0.06920489862036007,-0.06691819107991812,0.03304256759317254,0.0021976144985996387,-0.06522965474966062,-0.06303204025106099,0.06522965474966062,0.03369042051554125,0.033690420515541164,1,1,0.014486396480477925,0.1434763045943802,1,-3.3511193647090822,0.5606797900931588,1,1,-0.06457170381310226,0.003024475542862022,-0.07049967587711183,-0.058643731749092695,0.3363035869369831,-0.02171569560697876,1,-0.08296710507621186,0.0031127844326443318,-0.08906816256419475,-0.07686604758822896,0.33881089987281143,-0.06457170381310226,1.6448536269514866,-3.4574027709458326,0.5499486553152313,-3.8008159567582465,0.5846221129315736,1,1,102608,0.102608
T2-a,0.5,0.3,456,1000000,0.338206,338206,-0.03694823210592395,-0.0005275459837967066,0.002286850307955505,-0.06922990206508019,-0.0669430517571247,0.033032695984543364,0.00220211693089424,-0.06544545678772931,-0.06324333985683507,0.06544545678772931,0.03364812530893856,0.03364812530893857,1,1,0.014417934509552316,0.1436431467947574,1,-3.386435506066036,0.5597190588758162,1,1,-0.0657899735551061,0.0030219106914479315,-0.07171291851034405,-0.05986702859986816,0.33690467702629867,-0.02216494979215175,1,-0.08317808566066669,0.0031230424049562976,-0.08929924877438103,-0.07705692254695234,0.33870277597760967,-0.0657899735551061,1.6448536269514866,-3.5630650847746788,0.5419901678350918,-3.907816322052004,0.5765939820236919,1,1,102397,0.102397
T2-a,0.5,0.3,789,1000000,0.337737,337737,-0.04141309300037634,-0.0013973967486223884,0.0022841282231745963,-0.06911332784187482,-0.06682919961870022,0.03304902678685187,0.00219408804808913,-0.06513193943500521,-0.06293785138691609,0.06513193943500521,0.033686821966642,0.03368682196664197,1,1,0.014417745327204983,0.14349281694695554,1,-3.3653046963007487,0.5613867458593269,1,1,-0.061742477436405346,0.0030208931936900347,-0.06766342809603781,-0.05582152677677288,0.3375660616958463,-0.020842164947552005,1,-0.07830552965417156,0.0030879510035923597,-0.08435791362121259,-0.07225314568713054,0.33963442273674954,-0.061742477436405346,1.6448536269514866,-3.2823947874778225,0.5697172949135882,-3.627034466810915,0.6043456981465596,1,1,102469,0.102469
T2-a,0.5,0.3,2026,1000000,0.338805,338805,-0.04016662693468663,-0.00015432753945639752,0.0022849394352404233,-0.06914454143868536,-0.06685960200344496,0.03304583973944809,0.002194465390602307,-0.06512314467706712,-0.06292867928646481,0.06512314467706712,0.03369716560040566,0.0336971656004057,1,1,0.01448779554113318,0.14336965570362528,1,-3.3435648375765785,0.5610739317352382,1,1,-0.06074707829281609,0.0029964025751112178,-0.06662002734003407,-0.0548741292455981,0.33797373372624423,-0.020530916863583534,1,-0.07975553881068304,0.0030925545846515585,-0.0858169457966001,-0.07369413182476597,0.3401300579673287,-0.06074707829281609,1.6448536269514866,-3.1929828537644234,0.5762905477126007,-3.533175647725744,0.6106677220127678,1,1,102716,0.102716
T2-b,1.0,0.3,42,1000000,0.299482,299482,-0.05663202650188038,9.750249789376471e-05,0.0022870488497791284,-0.06922375666227615,-0.06693670781249703,0.033038496609437376,0.002110556894198394,-0.06089559299383572,-0.058785036099637325,0.06089559299383572,0.03465861469502464,0.034658614695024625,1,1,0.01277508965722237,0.1522057212614469,1,-3.601536089134476,0.6137790642004773,1,1,-0.059849331970383716,0.003196417154636347,-0.06611430959347096,-0.05358435434729648,0.30316983450181073,-0.01814451206850516,1,-0.07090813878367247,0.0031922755291571114,-0.07716499882082041,-0.06465127874652453,0.3053905865042197,-0.059849331970383716,1.6448536269514866,-3.6848463358179266,0.6067865815137179,-4.096400265467348,0.6413295560253158,1,1,101536,0.101536
T2-b,1.0,0.3,123,1000000,0.300265,300265,-0.05826323662335818,0.0005457520460580734,0.0022867075404419007,-0.06920489862036007,-0.06691819107991812,0.03304256759317254,0.0021049971974070134,-0.06068708568569758,-0.058582088488290565,0.06068708568569758,0.034686081455763636,0.03468608145576357,1,1,0.012817883108180375,0.1519684712779709,1,-3.5703403591583287,0.6145115628547977,1,1,-0.059794601590474006,0.003245999755760776,-0.06615676111176513,-0.053432442069182885,0.2965384774276577,-0.017731400114032562,1,-0.07195241067894441,0.003238859673325452,-0.0783005756386623,-0.06560424571922652,0.2998134738179185,-0.059794601590474006,1.6448536269514866,-3.6649357843116137,0.6065328479806736,-4.081478393281053,0.6416664150057748,1,1,101691,0.101691
T2-b,1.0,0.3,456,1000000,0.300074,300074,-0.05605515608163314,-0.0005275459837967066,0.002286850307955505,-0.06922990206508019,-0.0669430517571247,0.033032695984543364,0.0021107275171272544,-0.060925614305100434,-0.05881488678797318,0.060925614305100434,0.03464433705267627,0.03464433705267633,1,1,0.012750623223373121,0.15212840641684322,1,-3.612706826765912,0.6133865582814562,1,1,-0.06350101502554999,0.0032636562513685724,-0.06989778127823239,-0.057104248772867586,0.29602127029164993,-0.018797651132672455,1,-0.07495454490210136,0.003256456761662917,-0.08133720015496068,-0.06857188964924205,0.29960572894111903,-0.06350101502554999,1.6448536269514866,-3.9802283318313814,0.5825827896234419,-4.401245934511852,0.6178703269652656,1,1,101603,0.101603
T2-b,1.0,0.3,789,1000000,0.299007,299007,-0.05914170157211924,-0.0013973967486223884,0.0022841282231745963,-0.06911332784187482,-0.06682919961870022,0.03304902678685187,0.0021040106328542568,-0.06064867768361476,-0.0585446670507605,0.06064867768361476,0.034691780813923496,0.034691780813923545,1,1,0.012728456701708222,0.15214474541055184,1,-3.59951024878794,0.6152041472560761,1,1,-0.05714809515371952,0.0032390564475205507,-0.0634966457908598,-0.05079954451657924,0.29677163180696897,-0.016959933453429277,1,-0.06923757390039142,0.0032215787258893214,-0.07555186820313449,-0.06292327959764836,0.2998662752167988,-0.05714809515371952,1.6448536269514866,-3.489789806650319,0.6243833791334072,-3.9083616626467936,0.6594011757140789,1,1,101546,0.101546
T2-b,1.0,0.3,2026,1000000,0.299895,299895,-0.0581414072109038,-0.00015432753945639752,0.0022849394352404233,-0.06914454143868536,-0.06685960200344496,0.03304583973944809,0.0021051517537960915,-0.060703622853295544,-0.05859847109949945,0.060703622853295544,0.0346791781914513,0.03467917819145139,1,1,0.01279424345424753,0.15203614449542077,1,-3.580065348064444,0.6145753939369043,1,1,-0.056434777478514456,0.0031847206719092594,-0.06267682999545661,-0.05019272496157231,0.3012776139894831,-0.017002535104754253,1,-0.0691267569741355,0.0032039649798281844,-0.07540652833459875,-0.06284698561367226,0.3023393900150727,-0.056434777478514456,1.6448536269514866,-3.4109507279837485,0.6288068362571886,-3.820384811894215,0.66326179672335,1,1,101818,0.101818
