seed,alpha_b,NIE,NDE,ATE,kappa
42,4.997208628125,0.0691898271408343,-0.06922375666227615,-3.392952144185002e-05,0.9995098572646471
123,4.997208628125,0.06918323791856948,-0.06920489862036007,-2.1660701790590653e-05,0.9996870062347838
456,4.997208628125,0.06918134053081616,-0.06922990206508019,-4.856153426402443e-05,0.9992985468299757
789,4.997208628125,0.06911712632358095,-0.06911332784187485,3.7984817061048615e-06,1.0000549601911053
2026,4.997208628125,0.06913856253443561,-0.06914454143868536,-5.978904249748229e-06,0.9999135303506923
