cell,rho,alpha_b,M_reps,N_rep,n_valid_ipsw,n_valid_raw,reject_rate_IPSW,SE_reject_IPSW,reject_rate_C1_raw,SE_reject_C1_raw,tau_IV_IPSW_mean,tau_IV_IPSW_std,tau_IV_raw_mean,tau_IV_raw_std,sign_reversal_frac_IPSW_vs_raw
T2-a,0.5,0.3,2000,10000,2000,2000,0.5555,0.011111249929688378,0.7495,0.009688904736862675,-0.0637013993043531,0.030667140690003373,-0.08087551116471263,0.031069882713421475,0.017
T2-b,1.0,0.3,2000,10000,2000,2000,0.4405,0.01110089523416918,0.588,0.011005816643938786,-0.059814692762796356,0.03469036637208382,-0.07061861149832933,0.0340530021875103,0.0275
T2-c,0.5,3.972,2000,10000,2000,2000,0.0925,0.006478570444164361,0.2095,0.009099718402236412,-0.01888595713724557,0.029027207657962226,-0.034484071407137586,0.029934943171478837,0.166
T2-d,1.0,3.972,2000,10000,2000,2000,0.0635,0.005452877680637995,0.152,0.008027951170753344,-0.01616510007833421,0.032895284018458607,-0.03291248700554562,0.034129336229571074,0.191
T2-null,0.5,4.99720863,2000,10000,2000,2000,0.05,0.004873397172404482,0.088,0.006334666526345329,0.001470696025862729,0.028904482963872376,-0.01702390239476358,0.03061551532612103,0.2655
