cell,rho,alpha_b,seed,delta_ZY,N,pi_c,n_C1,crash_rate,tau_LATE_true,NDE_LATE,NIE_LATE,tau_IV_IPSW,SE_tau,CI_L,CI_U,bias,bias_pct,ci_covers_true,tau_IV_positive,FS,RF,reject_H0_tau0,degenerate
T2-a,0.5,0.3,42,0.01,1000000,0.338525,102311,0.102311,-0.06305028835089903,-0.06524843603783635,0.0021981476869373058,-0.03615956051531138,0.0029874708284662135,-0.042015003339105156,-0.0303041176915176,0.02689072783558765,42.64965084050122,0,0,0.338400714616609,-0.012236421118603888,1,0
T2-a,0.5,0.3,123,0.01,1000000,0.337101,102496,0.102496,-0.0632556062848578,-0.06545860998161038,0.0022030036967525765,-0.028656699301516358,0.0029693342617160617,-0.03447659445447984,-0.022836804148552877,0.034598906983341435,54.69698105102783,0,0,0.3376334537842805,-0.009675460359228547,1,0
T2-a,0.5,0.3,456,0.01,1000000,0.33768,102387,0.102387,-0.06310761944910451,-0.06530633555192603,0.0021987161028215007,-0.03049333079988574,0.002955214251845457,-0.036285550733502835,-0.024701110866268645,0.03261428864921877,51.680429295105604,0,0,0.33920642413477253,-0.010343533700587965,1,0
T2-a,0.5,0.3,789,0.01,1000000,0.338303,102407,0.102407,-0.06301074207384728,-0.06520786585062725,0.0021971237767799273,-0.03071816244835248,0.0029797503924748237,-0.03655847321760314,-0.024877851679101826,0.032292579625494804,51.249324420982965,0,0,0.3366573862564907,-0.01034149628046463,1,0
T2-a,0.5,0.3,2026,0.01,1000000,0.338434,102698,0.102698,-0.06296360937239878,-0.06515955558924999,0.0021959462168512295,-0.03194316952650757,0.002936571442539353,-0.0376988495538847,-0.026187489499130436,0.031020439845891215,49.26725159992111,0,0,0.34065771799596395,-0.010881687236458285,1,0
T2-a,0.5,0.3,42,0.02,1000000,0.338525,102311,0.102311,-0.06305028835089903,-0.06524843603783635,0.0021981476869373058,-0.006608795496008026,0.0029695316100005254,-0.012429077451609056,-0.0007885135404069963,0.056441492854891,89.5182152709159,0,0,0.338400714616609,-0.0022364211186041427,1,0
T2-a,0.5,0.3,123,0.02,1000000,0.337101,102496,0.102496,-0.0632556062848578,-0.06545860998161038,0.0022030036967525765,0.000961218851786306,0.0029575954521578246,-0.00483566823444303,0.006758105938015642,0.0642168251366441,101.51957890887596,0,1,0.3376334537842805,0.0003245396407711709,0,0
T2-a,0.5,0.3,456,0.02,1000000,0.33768,102387,0.102387,-0.06310761944910451,-0.06530633555192603,0.0021987161028215007,-0.0010127570592566991,0.00294199949524166,-0.0067790760699303525,0.004753561951416955,0.06209486238984781,98.39519052041969,0,0,0.33920642413477253,-0.0003435337005877129,0,0
T2-a,0.5,0.3,789,0.02,1000000,0.338303,102407,0.102407,-0.06301074207384728,-0.06520786585062725,0.0021971237767799273,-0.0010143733493028835,0.002966162877825453,-0.006828052589840771,0.0047993058912350044,0.0619963687245444,98.39015806524853,0,0,0.3366573862564907,-0.00034149628046455105,0,0
T2-a,0.5,0.3,2026,0.02,1000000,0.338434,102698,0.102698,-0.06296360937239878,-0.06515955558924999,0.0021959462168512295,-0.0025881909901965395,0.00292225586285294,-0.008315812481388301,0.0031394305009952226,0.06037541838220224,95.88938592308351,0,0,0.34065771799596395,-0.0008816872364580675,0,0
T2-a,0.5,0.3,42,0.05,1000000,0.338525,102311,0.102311,-0.06305028835089903,-0.06524843603783635,0.0021981476869373058,0.08204349956190606,0.003063262487498863,0.07603950508640828,0.08804749403740383,0.14509378791280508,230.12390856216632,0,1,0.338400714616609,0.027763578881396453,1,0
T2-a,0.5,0.3,123,0.05,1000000,0.337101,102496,0.102496,-0.0632556062848578,-0.06545860998161038,0.0022030036967525765,0.08981497331169812,0.0030710747448968816,0.08379566681170023,0.09583427981169601,0.1530705795965559,241.9873724824263,0,1,0.3376334537842805,0.030324539640771614,1,0
T2-a,0.5,0.3,456,0.05,1000000,0.33768,102387,0.102387,-0.06310761944910451,-0.06530633555192603,0.0021987161028215007,0.08742896416262788,0.003049034596080292,0.08145285635431052,0.09340507197094525,0.1505365836117324,238.53947419635793,0,1,0.33920642413477253,0.029656466299412182,1,0
T2-a,0.5,0.3,789,0.05,1000000,0.338303,102407,0.102407,-0.06301074207384728,-0.06520786585062725,0.0021971237767799273,0.08809699394784554,0.0030762399541720536,0.08206756363766832,0.09412642425802276,0.1511077360216928,239.81265899804464,0,1,0.3366573862564907,0.02965850371953556,1,0
T2-a,0.5,0.3,2026,0.05,1000000,0.338434,102698,0.102698,-0.06296360937239878,-0.06515955558924999,0.0021959462168512295,0.0854767446187336,0.003023831711852168,0.07955003446350335,0.09140345477396385,0.14844035399113237,235.75578889256602,0,1,0.34065771799596395,0.029118312763541578,1,0
T2-a,0.5,0.3,42,0.1,1000000,0.338525,102311,0.102311,-0.06305028835089903,-0.06524843603783635,0.0021981476869373058,0.22979732465842495,0.003644106498359718,0.2226548759216399,0.23693977339521,0.292847613009324,464.46673071424317,0,1,0.338400714616609,0.0777635788813959,1,0
T2-a,0.5,0.3,123,0.1,1000000,0.337101,102496,0.102496,-0.0632556062848578,-0.06545860998161038,0.0022030036967525765,0.23790456407821625,0.0036807468306173465,0.23069030029020626,0.24511882786622624,0.3011601703630741,476.10036177167456,0,1,0.3376334537842805,0.08032453964077182,1,0
T2-a,0.5,0.3,456,0.1,1000000,0.33768,102387,0.102387,-0.06310761944910451,-0.06530633555192603,0.0021987161028215007,0.2348318328657689,0.0036444710318013817,0.22768866964343817,0.2419749960880996,0.2979394523148734,472.11328032292164,0,1,0.33920642413477253,0.07965646629941202,1,0
T2-a,0.5,0.3,789,0.1,1000000,0.338303,102407,0.102407,-0.06301074207384728,-0.06520786585062725,0.0021971237767799273,0.23661593944309195,0.0036873844770458687,0.22938866586808204,0.24384321301810186,0.2996266815169392,475.5168272193699,0,1,0.3366573862564907,0.07965850371953542,1,0
T2-a,0.5,0.3,2026,0.1,1000000,0.338434,102698,0.102698,-0.06296360937239878,-0.06515955558924999,0.0021959462168512295,0.23225163730028517,0.003605853266748079,0.22518416489745893,0.2393191097031114,0.29521524667268395,468.86646050837226,0,1,0.34065771799596395,0.07911831276354145,1,0
T2-b,1.0,0.3,42,0.0,1000000,0.299842,101504,0.101504,-0.058779770103860575,-0.06088983967904454,0.0021100695751839677,-0.06070006123004082,0.003245611978414867,-0.06706146070773396,-0.05433866175234768,-0.0019202911261802444,3.2669252070690256,1,0,0.2988794163709294,-0.01814199887411428,1,0
