cell,rho,alpha_b,seed,use_physics,use_iv,use_ipsw,combo,n_C1,tau_hat,SE,CI_L,CI_U,tau_true,bias,ci_covers_true,D_L,D_U,kappa_ident_width
T2-a,0.5,0.3,2026,True,True,False,PIw,102210,-0.08323197429360644,0.003160521921757652,-0.08942659726025144,-0.07703735132696145,-0.063038,-0.020193974293606448,False,0.01445,0.14352,5.180065289756602
T2-a,0.5,0.3,42,True,True,True,PIW,102203,-0.06415840984674437,0.0030220824257089275,-0.07008169140113386,-0.058235128292354874,-0.063038,-0.0011204098467443718,True,0.01445,0.14352,3.992993734844376
T2-a,0.5,0.3,123,True,True,True,PIW,101970,-0.06289610549528792,0.0030051241005138465,-0.06878614873229505,-0.057006062258280775,-0.063038,0.0001418945047120812,True,0.01445,0.14352,3.9144323524960227
T2-a,0.5,0.3,456,True,True,True,PIW,102524,-0.06383461852910365,0.0030061261580437483,-0.06972662579886939,-0.057942611259337896,-0.063038,-0.0007966185291036487,True,0.01445,0.14352,3.972842102255215
T2-a,0.5,0.3,789,True,True,True,PIW,102228,-0.06177374087365909,0.0029895200017204,-0.06763320007703108,-0.05591428167028711,-0.063038,0.0012642591263409067,True,0.01445,0.14352,3.8445803266574763
T2-a,0.5,0.3,2026,True,True,True,PIW,102210,-0.0659109022447505,0.003061222369598738,-0.07191089808916404,-0.05991090640033698,-0.063038,-0.002872902244750508,True,0.01445,0.14352,4.102062696845091
T2-b,1.0,0.3,42,False,False,False,piw,101310,0.0376621099045214,0.000950075475903436,0.035799961971750664,0.03952425783729214,-0.058665,0.0963271099045214,False,,,
T2-b,1.0,0.3,123,False,False,False,piw,101098,0.03725627087901051,0.0009477380602615982,0.03539870428089778,0.03911383747712324,-0.058665,0.0959212708790105,False,,,
T2-b,1.0,0.3,456,False,False,False,piw,101687,0.03758121751537727,0.0009482857296113222,0.03572257748533908,0.03943985754541546,-0.058665,0.09624621751537726,False,,,
T2-b,1.0,0.3,789,False,False,False,piw,101442,0.036194546510502384,0.0009553058687236467,0.03432214700780404,0.03806694601320073,-0.058665,0.09485954651050238,False,,,
T2-b,1.0,0.3,2026,False,False,False,piw,101293,0.035477957012584715,0.000951883629744946,0.03361226509828462,0.03734364892688481,-0.058665,0.09414295701258471,False,,,
T2-b,1.0,0.3,42,False,False,True,piW,101310,0.04720860678640477,0.0009434634754085064,0.045359418374604096,0.04905779519820544,-0.058665,0.10587360678640477,False,,,
