make,model,year,esc_consensus,T_assign
FORD,ESCAPE,2007,No,0.0
HONDA,ELEMENT,2004,No,0.0
FORD,WINDSTAR,2001,No,0.0
MAZDA,CX-9,2009,Standard,1.0
FORD,F-350,2002,not_found,
GMC,SAVANA,2000,not_found,
KENWORTH,W900,2005,not_found,
TOYOTA,RAV4,2007,Standard,1.0
BMW,328XI,2007,not_found,
PETERBILT,379,2003,not_found,
INFINITI,QX4,2003,No,0.0
BMW,M5,2000,not_found,
ACURA,RDX,2007,Standard,1.0
HARLEY DAVIDSON,ROAD KING,2003,not_found,
CADILLAC,CTS,2006,Optional,
HYUNDAI,XG300,2001,not_found,
NISSAN,FRONTIER,2003,No,0.0
INTERNATIONAL,3800,2000,not_found,
ACURA,MDX,2010,Standard,1.0
LEXUS,ES,2005,not_found,
DODGE,INTREPID,2004,No,0.0
KAWASAKI,NINJA 650R,2007,not_found,
FORD,E-250,2010,not_found,
BMW,335D,2009,not_found,
HARLEY DAVIDSON,SPORTSTER 1200 CUSTOM,2003,not_found,
TOYOTA,SCION XB,2008,Standard,1.0
FORD,F-350,2009,No,0.0
VOLKSWAGEN,BEETLE,2001,not_found,
VOLKSWAGEN,EOS,2007,Standard,1.0
SUBARU,LEGACY,2000,No,0.0
CHEVROLET,AVEO,2006,No,0.0
YAMAHA,TT-R250/TT-R250C,2002,not_found,
FORD,EXPEDITION,2009,Standard,1.0
MERCEDES-BENZ,M-CLASS,2007,not_found,
BMW,X5,2006,not_found,
TOYOTA,SEQUOIA,2002,Standard,1.0
GMC,ENVOY,2006,Standard,1.0
SATURN,SC2,2001,not_found,
FORD,F-350,2010,No,0.0
HARLEY DAVIDSON,TRI GLIDE ULTRA CLASSIC,2009,not_found,
BUICK,LUCERNE,2007,Optional,
MERCEDES-BENZ,CLK-CLASS,2003,Standard,1.0
BUICK,TERRAZA,2007,Standard,1.0
FREIGHTLINER,CORONADO,2006,not_found,
VOLKSWAGEN,PASSAT,2007,Standard,1.0
VOLVO TRUCK,VNM,2001,not_found,
LAND ROVER,LR3,2008,Standard,1.0
LINCOLN,TOWN CAR,2003,No,0.0
PIAGGIO AND VESPA,BV,2009,not_found,
MERCURY,MOUNTAINEER,2004,Optional,
VOLKSWAGEN,GLI,2008,Standard,1.0
SUZUKI,GSX-R600K,2002,not_found,
HYUNDAI,ACCENT,2000,not_found,
CHEVROLET,GEO PRIZM,2001,not_found,
OLDSMOBILE,AURORA,2001,Optional,
MAZDA,MAZDA5,2007,No,0.0
MERCEDES-BENZ,E-CLASS,2002,Standard,1.0
NISSAN,XTERRA,2002,No,0.0
MERCURY,SABLE,2008,Optional,
NISSAN,PATHFINDER,2006,Standard,1.0
INFINITI,G37,2008,Standard,1.0
MERCURY,MYSTIQUE,2000,No,0.0
BMW,330CI,2003,not_found,
TOYOTA,4-RUNNER,2004,not_found,
IC BUS,PB105,2006,not_found,
YAMAHA,YZF-R6/YZF-R6C/R6,2005,not_found,
HONDA,CBR1000,2006,not_found,
GMC,CANYON,2004,No,0.0
HONDA,ODYSSEY,2004,No,0.0
YAMAHA,XVS650/A/C/AC/V-STAR CLASSIC/CUSTOM,2001,not_found,
CHEVROLET,BLAZER,2003,No,0.0
HARLEY DAVIDSON,ROAD KING SHRINE,2006,not_found,
KAWASAKI,NINJA 250R,2008,not_found,
BUICK,PARK AVENUE,2002,Optional,
FORD,F-450,2005,not_found,
CHEVROLET,VENTURE,2005,No,0.0
HYUNDAI,ACCENT,2004,No,0.0
BUICK,LACROSSE,2008,Optional,
FORD,E-350,2002,not_found,
FORD,F-650,2008,not_found,
JEEP,LIBERTY,2007,Standard,1.0
GMC,YUKON XL,2000,No,0.0
VOLVO TRUCK,VNM,2003,not_found,
VOLKSWAGEN,TOUAREG,2008,Standard,1.0
SUZUKI,GSX-R1000,2008,not_found,
VOLKSWAGEN,GTI,2002,not_found,
MERCEDES-BENZ,C-CLASS,2010,Standard,1.0
VOLVO TRUCK,VNL,2005,not_found,
HYUNDAI,TIBURON,2005,No,0.0
HONDA,PASSPORT,2000,No,0.0
INTERNATIONAL,MA025,2004,not_found,
LEXUS,LS,2008,not_found,
PETERBILT,378,2000,not_found,
BMW,X5,2008,not_found,
MITSUBISHI,LANCER,2005,No,0.0
HONDA,VTX1300R,2007,not_found,
AUDI,A4,2007,not_found,
PONTIAC,GRAND PRIX,2003,No,0.0
MAZDA,TRIBUTE,2005,No,0.0
YAMAHA,XVS13CT,2009,not_found,
MAZDA,MX-5,2000,not_found,
MERCURY,MILAN,2009,Optional,
MACK,MR,2004,not_found,
SUZUKI,VL1500 / VL1500T,2005,not_found,
TOYOTA,YARIS,2010,Standard,1.0
CADILLAC,ESCALADE,2005,Standard,1.0
CHEVROLET,SUBURBAN,2002,No,0.0
HARLEY DAVIDSON,ROAD KING,2005,not_found,
AUDI,A6,2010,not_found,
INTERNATIONAL,MA035,2009,not_found,
MERCEDES-BENZ,CLK-CLASS,2002,Standard,1.0
HARLEY DAVIDSON,ELECTRA GLIDE ULTRA CLASSIC,2004,not_found,
HARLEY DAVIDSON,SPORTSTER 883 CUSTOM,2005,not_found,
GMC,SIERRA,2007,Optional,
PETERBILT,379,2005,not_found,
DODGE,STRATUS,2001,No,0.0
NISSAN,350Z,2006,Optional,
LINCOLN,MKS,2010,Standard,1.0
HUMMER,H3,2009,not_found,
FORD,EXPLORER SPORT TRAC,2002,No,0.0
VOLVO,XC90,2005,Standard,1.0
CADILLAC,ESCALADE,2000,No,0.0
INTERNATIONAL,MA025,2003,not_found,
KIA,RIO,2005,No,0.0
AUDI,Q7,2008,not_found,
MAZDA,MILLENIA,2002,No,0.0
GMC,JIMMY UTILITY,2001,No,0.0
STERLING TRUCK,L9500 SERIES,2008,not_found,
VOLVO,S80,2005,Optional,
GMC,SAVANA,2003,No,0.0
BMW,750LI,2007,not_found,
HONDA,INSIGHT,2010,Optional,
MERCURY,GRAND MARQUIS,2000,No,0.0
GILLIG,LOW FLOOR BUS,2000,not_found,
HONDA,FIT,2007,No,0.0
GMC,YUKON XL,2003,Optional,
AUDI,Q5,2010,not_found,
NISSAN,350Z,2007,Optional,
CHEVROLET,EXPRESS,2003,No,0.0
FORD,EXPEDITION,2002,No,0.0
KAWASAKI,NINJA 250R,2009,not_found,
DUCATI,SUPERBIKE,2008,not_found,
ISUZU,NPR,2007,not_found,
HONDA,GL1800,2010,not_found,
SUBARU,IMPREZA,2006,No,0.0
SAAB,9-5,2005,Standard,1.0
SUZUKI,GSX-R600K,2003,not_found,
LEXUS,LS,2004,not_found,
HONDA,ELEMENT,2009,Standard,1.0
CHEVROLET,EXPRESS,2006,Optional,
BMW,530I,2005,not_found,
HONDA,S2000,2003,No,0.0
HARLEY DAVIDSON,STREET GLIDE,2008,not_found,
FORD,RANGER,2005,No,0.0
PORSCHE,PANAMERA,2010,Standard,1.0
SUZUKI,GSX-R750/GSX-R750X,2005,not_found,
BUICK,RAINIER,2007,Standard,1.0
MITSUBISHI,GALANT,2008,No,0.0
KENWORTH,W9 SERIES,2009,not_found,
KIA,SPECTRA LD,2004,No,0.0
BLUE BIRD,SHELL COMMERCIAL SERIES,2000,not_found,
DODGE,RAM CHASSIS CAB,2007,not_found,
MACK,CV,2005,not_found,
SUBARU,IMPREZA,2007,No,0.0
VOLKSWAGEN,BEETLE,2003,not_found,
GMC,C5,2004,not_found,
WESTERN STAR,4900,2005,not_found,
JAGUAR,S-TYPE,2000,not_found,
BMW,Z3,2000,not_found,
GMC,SAVANA,2007,Optional,
JEEP,CHEROKEE,2000,No,0.0
ISUZU,RODEO,2002,No,0.0
VOLVO TRUCK,VNL,2001,not_found,
MERCEDES-BENZ,C-CLASS,2001,not_found,
AUDI,TT,2008,not_found,
BMW,525I,2001,not_found,
GMC,YUKON XL,2004,Optional,
TOYOTA,RAV4,2001,No,0.0
YAMAHA,FZ6-S/FZ6-SC/FZ6,2004,not_found,
YAMAHA,CW50M/ZUMA,2000,not_found,
PETERBILT,379,2006,not_found,
AUDI,A3,2007,not_found,
KAWASAKI,VULCAN 900,2007,not_found,
TOYOTA,SIENNA,2000,No,0.0
VOLKSWAGEN,JETTA WAGON,2010,Standard,1.0
CHEVROLET,VENTURE,2004,No,0.0
SUBARU,OUTBACK,2008,Optional,
NISSAN,CUBE,2010,Standard,1.0
LINCOLN,AVIATOR,2003,Optional,
LAND ROVER,RANGE ROVER SPORT,2007,Standard,1.0
NISSAN,MURANO,2010,Standard,1.0
TOYOTA,SCION XA,2005,No,0.0
MITSUBISHI,ECLIPSE SPYDER,2001,No,0.0
CHEVROLET,EXPRESS,2001,not_found,
GMC,C5,2007,not_found,
FORD,RANGER,2006,No,0.0
SATURN,LS1,2000,not_found,
MERCURY,COUGAR,2002,No,0.0
CADILLAC,DEVILLE,2002,Optional,
HONDA,VTX1800C1/VTX1800C,2006,not_found,
HONDA,PRELUDE,2001,not_found,
LEXUS,SC,2002,not_found,
CHEVROLET,ASTRO VAN,2005,No,0.0
KYMCO,FLAT BED SCOOTER,2005,not_found,
YAMAHA,YZF-R1/YZF-R1C/YZF-R1,2007,not_found,
FORD,F-550,2009,not_found,
GMC,ACADIA,2009,Standard,1.0
NISSAN,FRONTIER,2000,No,0.0
YAMAHA,XVS1100/A/C/AC/AT/ATC/V STAR 1100,2007,not_found,
INFINITI,I30,2000,No,0.0
PONTIAC,SUNFIRE,2003,No,0.0
PORSCHE,BOXSTER,2003,Optional,
MERCEDES-BENZ,S-CLASS,2002,Standard,1.0
HARLEY DAVIDSON,FLHTCI / ELECTRA GLIDE CLASSIC,2002,not_found,
FREIGHTLINER,FS 65 CHASSIS,2004,not_found,
VOLVO,XC60,2010,Standard,1.0
NISSAN,ARMADA,2007,Standard,1.0
SMART,FORTWO,2008,Standard,1.0
HARLEY DAVIDSON,HERITAGE SOFTAIL CLASSIC,2006,not_found,
HONDA,NHX110 (ELITE 110),2010,not_found,
E-ONE,TRUCK,2006,not_found,
SPRINTER (DODGE OR FREIGHTLINER),SPRINTER,2003,not_found,
NISSAN,ARMADA,2004,Standard,1.0
IC BUS,PB105,2008,not_found,
MERCURY,MOUNTAINEER,2003,Optional,
TRIUMPH,BONNEVILLE,2008,not_found,
PIERCE MANUFACTURING,QUANTUM,2010,not_found,
CHEVROLET,CORVETTE,2001,not_found,
BMW,330CIC,2003,not_found,
HARLEY DAVIDSON,SPORTSTER 883 LOW,2005,not_found,
ACURA,RL,2010,not_found,
YAMAHA,YZF-R6/YZF-R6C/R6,2007,not_found,
CHEVROLET,CAVALIER,2001,No,0.0
SUZUKI,SV650/SV650S,2006,not_found,
YAMAHA,YZF-R6S/YZF-R6SC/YZF-R6S,2008,not_found,
HYUNDAI,ACCENT,2003,ambiguous,
HONDA,S2000,2008,Standard,1.0
MAZDA,MPV,2004,No,0.0
THOMAS BUILT,MVP-EF (ENGINE FRONT),2005,not_found,
LEXUS,ES,2000,not_found,
TOYOTA,PRIUS,2002,Optional,
CHRYSLER,300,2000,not_found,
FORD,E-150,2007,No,0.0
TOYOTA,PRIUS,2009,Optional,
STERLING TRUCK,L7500 SERIES,2004,not_found,
YAMAHA,XVS950AC/CTC,2009,not_found,
NISSAN,370Z,2010,Standard,1.0
MACK,CXN,2005,not_found,
TOYOTA,SCION XB,2010,Standard,1.0
HARLEY DAVIDSON,FLHRC / ROAD KING CLASSIC,2010,not_found,
JEEP,WRANGLER,2004,No,0.0
KIA,RONDO,2009,Standard,1.0
FORD,EXPEDITION,2005,Optional,
HONDA,ELEMENT,2003,No,0.0
PONTIAC,BONNEVILLE,2005,Optional,
SUZUKI,SV650/SV650S/SV650SF,2009,not_found,
FORD,CROWN VICTORIA,2002,No,0.0
FREIGHTLINER,M2,2007,not_found,
PONTIAC,BONNEVILLE,2000,not_found,
LINCOLN,MKX,2010,Standard,1.0
PETERBILT,378,2003,not_found,
LEXUS,IS,2009,not_found,
CADILLAC,ESCALADE,2010,Standard,1.0
HYUNDAI,GENESIS COUPE,2010,Standard,1.0
MAZDA,MAZDA3,2004,No,0.0
DODGE,RAM CHASSIS CAB,2008,not_found,
INTERNATIONAL,4700,2000,not_found,
PONTIAC,G3,2009,not_found,
MERCEDES-BENZ,SLK-CLASS,2003,not_found,
MERCURY,GRAND MARQUIS,2005,No,0.0
HARLEY DAVIDSON,DYNA WIDE GLIDE,2000,not_found,
HARLEY DAVIDSON,SOFTAIL DEUCE,2004,not_found,
BMW,X3,2006,not_found,
SATURN,SL1,2000,not_found,
SUZUKI,SV650,2007,not_found,
TOYOTA,HIGHLANDER,2009,Standard,1.0
KIA,BORREGO,2009,Standard,1.0
MINI,COOPER,2009,Optional,
FORD,ESCAPE,2001,No,0.0
ISUZU,AXIOM,2002,No,0.0
INTERNATIONAL,9200I,2005,not_found,
FREIGHTLINER,FLD132,2007,not_found,
HONDA,RVT1000R (RC51),2004,not_found,
JEEP,PATRIOT,2008,Standard,1.0
SAAB,9-3,2007,Standard,1.0
TOYOTA,CELICA,2004,No,0.0
FORD,FOCUS,2003,Optional,
MERCEDES-BENZ,R-CLASS,2008,Standard,1.0
KIA,SPORTAGE,2002,No,0.0
SATURN,LS,2002,not_found,
TOYOTA,COROLLA MATRIX,2008,Optional,
INFINITI,EX35,2008,Standard,1.0
CADILLAC,DTS,2006,Optional,
CHRYSLER,300C,2007,not_found,
SUBARU,IMPREZA,2010,Standard,1.0
INFINITI,M35,2008,not_found,
KENWORTH,W900,2000,not_found,
HONDA,CMX250 (REBEL),2000,not_found,
TOYOTA,LAND CRUISER,2000,not_found,
HARLEY DAVIDSON,CVO SOFTAIL CONVERTIBLE,2010,not_found,
MERCEDES-BENZ,M-CLASS,2008,not_found,
UD,UD2600,2009,not_found,
HARLEY DAVIDSON,SOFTAIL DELUXE,2010,not_found,
MERCEDES-BENZ,S-CLASS,2003,Standard,1.0
HARLEY DAVIDSON,IRON883,2010,not_found,
TOYOTA,SEQUOIA,2010,Standard,1.0
VOLVO,S60,2001,No,0.0
KENWORTH,T6 SERIES,2008,not_found,
VOLKSWAGEN,TOUAREG,2010,Standard,1.0
NABI,BRT,2006,not_found,
NABI,BRT,2005,not_found,
GMC,CANYON,2006,No,0.0
SUBARU,LEGACY,2008,Optional,
SUZUKI,AN650AL,2008,not_found,
HONDA,ELEMENT,2007,Standard,1.0
YAMAHA,YZF-R6,2009,not_found,
INTERNATIONAL,4300,2005,not_found,
PETERBILT,365,2008,not_found,
ACURA,MDX,2001,not_found,
HYUNDAI,SANTA FE,2006,No,0.0
ISUZU,RODEO,2004,No,0.0
LAND ROVER,DISCOVERY,2004,No,0.0
HARLEY DAVIDSON,FLHRC / ROAD KING CLASSIC,2007,not_found,
SUZUKI,LT-A500F/LT-A500FC,2007,not_found,
INTERNATIONAL,MA025,2010,not_found,
HONDA,GL1800,2003,not_found,
SUZUKI,DR-Z400SML,2005,not_found,
SUBARU,LEGACY,2009,Optional,
KIA,OPTIMA,2002,No,0.0
AUDI,Q5,2009,not_found,
DODGE,DAKOTA,2002,No,0.0
LEXUS,LX,2000,not_found,
BUICK,RENDEZVOUS,2007,No,0.0
BUICK,REGAL,2000,No,0.0
SUZUKI,GSX-R600,2006,not_found,
KENWORTH,T800,2000,not_found,
HONDA,VTX1800C (VTX),2004,not_found,
FORD,EXCURSION,2004,not_found,
BUICK,RAINIER,2005,No,0.0
SUZUKI,FORENZA,2006,No,0.0
KIA,OPTIMA,2003,No,0.0
STERLING TRUCK,L9500 SERIES,2006,not_found,
HONDA,ELEMENT,2010,Standard,1.0
TOYOTA,SCION XD,2009,Optional,
LINCOLN,MKT,2010,Standard,1.0
VOLVO,S40,2002,Optional,
PONTIAC,GRAND PRIX,2004,Optional,
SATURN,OUTLOOK,2007,Standard,1.0
PONTIAC,SUNFIRE,2005,No,0.0
CHRYSLER,300,2010,Optional,
LEXUS,RX,2002,not_found,
KAWASAKI,PRAIRIE 360,2006,not_found,
YAMAHA,YZF-R6/YZF-R6C/R6,2008,not_found,
SUZUKI,GSX-R1000K,2004,not_found,
CADILLAC,DTS,2008,Standard,1.0
INFINITI,FX50,2010,not_found,
HARLEY DAVIDSON,STREET GLIDE,2010,not_found,
HYUNDAI,ELANTRA TOURING,2010,Standard,1.0
VOLVO TRUCK,VHD,2002,not_found,
HARLEY DAVIDSON,FLSTCI / HERITAGE SOFTAIL CLASSIC,2001,not_found,
FORD,E-350,2008,Standard,1.0
MITSUBISHI,ENDEAVOR,2005,Optional,
KAWASAKI,VULCAN 2000,2008,not_found,
PONTIAC,GRAND PRIX,2005,Optional,
CHEVROLET,AVEO,2009,No,0.0
SATURN,AURA,2009,Standard,1.0
VOLVO,S80,2000,No,0.0
KENWORTH,T8 SERIES,2007,not_found,
ACURA,RDX,2010,Standard,1.0
VOLVO,XC70,2006,Optional,
INTERNATIONAL,9100I,2000,not_found,
SUBARU,FORESTER,2003,No,0.0
ISUZU,AXIOM,2003,No,0.0
CHEVROLET,C7,2002,not_found,
LEXUS,GS,2007,not_found,
HONDA,CBR1000,2005,not_found,
HONDA,CBR600,2001,not_found,
HYUNDAI,TUCSON,2008,Standard,1.0
AUDI,A6,2007,not_found,
PONTIAC,BONNEVILLE,2001,Optional,
FORD,F-450,2000,not_found,
HYUNDAI,AZERA,2007,Standard,1.0
FORD,F-350,2007,not_found,
FREIGHTLINER,MT 45 HEV CHASSIS,2007,not_found,
LINCOLN,TOWN CAR,2008,No,0.0
HONDA,CBR600,2009,not_found,
KAWASAKI,VULCAN 900,2006,not_found,
MERCEDES-BENZ,CLK-CLASS,2001,not_found,
DODGE,SPRINTER,2006,not_found,
STERLING TRUCK,A9500 SERIES,2005,not_found,
KENWORTH,T3 SERIES,2010,not_found,
MERCEDES-BENZ,M-CLASS,2009,not_found,
INFINITI,FX35,2009,not_found,
SUZUKI,GSX-R750,2008,not_found,
DODGE,CALIBER,2009,Optional,
MACK,DM,2004,not_found,
QINGQI,QINGQI,2003,not_found,
TOYOTA,VENZA,2010,Standard,1.0
CHRYSLER,TOWN AND COUNTRY,2009,not_found,
STERLING TRUCK,A9500 SERIES,2000,not_found,
KAWASAKI,VULCAN 500,2005,not_found,
SUZUKI,GSX-R1000,2007,not_found,
HARLEY DAVIDSON,NIGHT TRAIN,2003,not_found,
DODGE,DURANGO,2007,Standard,1.0
OLDSMOBILE,SILHOUETTE,2004,No,0.0
HONDA,VT600CD (SHADOW VLX DELUXE),2001,not_found,
CHEVROLET,CAMARO,2002,No,0.0
MERCURY,MARINER,2007,No,0.0
NISSAN,QUEST,2009,Optional,
TOYOTA,TUNDRA,2005,Optional,
HARLEY DAVIDSON,ELECTRA GLIDE ULTRA CLASSIC,2005,not_found,
HARLEY DAVIDSON,FXDL / DYNA LOW RIDER,2005,not_found,
CHEVROLET,S-10 PICKUP,2003,No,0.0
MITSUBISHI,GALANT,2010,Standard,1.0
VOLKSWAGEN,GTI,2001,not_found,
BMW,645CI,2005,not_found,
GMC,C8,2004,not_found,
FREIGHTLINER,CST120,2003,not_found,
MACK,CHU,2010,not_found,
NISSAN,TITAN,2010,Standard,1.0
BMW,528I,2009,not_found,
LEXUS,GS,2010,not_found,
TOYOTA,SCION XD,2010,Standard,1.0
SUBARU,BAJA,2003,No,0.0
SUBARU,B9 TRIBECA,2009,not_found,
VOLVO,V70,2002,Optional,
SAAB,9-3,2004,Standard,1.0
KIA,SPECTRA,2004,No,0.0
TRIUMPH,DAYTONA,2009,not_found,
HYUNDAI,TUCSON,2007,Standard,1.0
AUDI,A3,2006,not_found,
CHEVROLET,EQUINOX,2010,Standard,1.0
SUBARU,FORESTER,2006,No,0.0
HARLEY DAVIDSON,ELECTRA GLIDE ULTRA CLASSIC SHRINE,2002,not_found,
VOLVO,V50,2006,Optional,
HARLEY DAVIDSON,FAT BOY,2005,not_found,
FORD,TAURUS X,2008,Standard,1.0
LINCOLN,TOWN CAR,2009,No,0.0
VOLKSWAGEN,GTI,2009,Standard,1.0
AUDI,A4,2008,not_found,
HARLEY DAVIDSON,STREET GLIDE,2006,not_found,
INTERNATIONAL,SA647,2009,not_found,
HARLEY DAVIDSON,SPORTSTER 1200 CUSTOM,2005,not_found,
HARLEY DAVIDSON,SPORTSTER 1200 ROADSTER,2006,not_found,
HYUNDAI,ACCENT,2007,No,0.0
VOLKSWAGEN,JETTA WAGON,2005,Optional,
ISUZU,ASCENDER,2004,No,0.0
VOLKSWAGEN,PASSAT,2005,Standard,1.0
KENWORTH,T6 SERIES,2009,not_found,
MERCURY,MONTEREY,2005,Optional,
MACK,RD,2001,not_found,
MAZDA,MAZDA6,2008,No,0.0
CHRYSLER,300,2004,not_found,
MITSUBISHI,ECLIPSE,2009,Optional,
BUELL,1125R,2008,not_found,
SUZUKI,GS500(GS500H)/GS500F(GS500FH),2005,not_found,
HARLEY DAVIDSON,FXDBI / DYNA STREET BOB,2006,not_found,
HARLEY DAVIDSON,DYNA WIDE GLIDE,2006,not_found,
GMC,YUKON XL,2009,Standard,1.0
PETERBILT,335,2007,not_found,
PIAGGIO AND VESPA,LT 50,2003,not_found,
MINI,COOPER CONVERTIBLE,2006,Optional,
MAZDA,CX-9,2007,Standard,1.0
YAMAHA,YZF-R1/YZF-R1C/YZF-R1,2004,not_found,
SATURN,SKY,2008,Standard,1.0
HONDA,VT750 (SHADOW ACE 750),2003,not_found,
PONTIAC,AZTEK,2003,No,0.0
KAWASAKI,NINJA ZX-14,2007,not_found,
HONDA,ELEMENT,2005,No,0.0
HARLEY DAVIDSON,ELECTRA GLIDE CLASSIC SHRINE,2000,not_found,
HYUNDAI,TIBURON,2001,not_found,
PONTIAC,MONTANA/ SV6,2003,not_found,
GILLIG,CITY TRANSIT BUS,2002,not_found,
MERCEDES-BENZ,GL-CLASS,2008,Standard,1.0
MINI,COOPER,2008,Optional,
INFINITI,FX35,2004,not_found,
HYUNDAI,TUCSON,2005,Standard,1.0
HARLEY DAVIDSON,DYNA SUPER GLIDE CUSTOM,2010,not_found,
TRIUMPH,SPEED TRIPLE,2007,not_found,
TOYOTA,CELICA,2003,No,0.0
BMW,R 1200 RT,2006,not_found,
HARLEY DAVIDSON,ELECTRA GLIDE ULTRA CLASSIC,2006,not_found,
FORD,F-350,2000,not_found,
HYUNDAI,SONATA,2000,No,0.0
NOVABUS,LFS ARTICULATED,2010,not_found,
BMW,330CI,2001,not_found,
HARLEY DAVIDSON,SPORTSTER 883,2005,not_found,
HONDA,CBR600,2005,not_found,
FORD,E-350,2000,not_found,
AMERICAN LAFRANCE,METROPOLITAN,2005,not_found,
KIA,SORENTO,2009,Standard,1.0
FREIGHTLINER,FLD120,2001,not_found,
PORSCHE,BOXSTER,2009,Standard,1.0
VOLVO,C30,2008,Standard,1.0
LEXUS,GS,2005,not_found,
LEXUS,LS,2001,not_found,
INFINITI,M45,2007,not_found,
HUMMER,H2,2007,not_found,
HARLEY DAVIDSON,XL 1200,2001,not_found,
YAMAHA,XVS1100/A/C/AC/AT/ATC/V STAR 1100,2006,not_found,
SUZUKI,VZ800/VZ800Z,2009,not_found,
MERCEDES-BENZ,E-CLASS,2009,Standard,1.0
AUDI,A4,2009,not_found,
VOLKSWAGEN,ROUTAN,2010,Standard,1.0
MERCURY,MOUNTAINEER,2005,Standard,1.0
JEEP,GRAND CHEROKEE,2008,Standard,1.0
HARLEY DAVIDSON,FXDL / DYNA LOW RIDER,2001,not_found,
HARLEY DAVIDSON,CROSS BONES,2009,not_found,
HARLEY DAVIDSON,SPORTSTER 883 CUSTOM,2006,not_found,
ISUZU,NPR/NPR-HD,2005,not_found,
SATURN,VUE,2007,No,0.0
MERCEDES-BENZ,E-CLASS,2007,Standard,1.0
HONDA,VT1100C (SHADOW SPIRIT 1100),2002,not_found,
IC BUS,PB205,2005,not_found,
KIA,SPECTRA,2002,No,0.0
DODGE,NITRO,2009,Standard,1.0
FORD,ZX2,2003,No,0.0
TOYOTA,TUNDRA,2009,Standard,1.0
PONTIAC,TORRENT,2007,Standard,1.0
MACK,CL,2002,not_found,
HARLEY DAVIDSON,ELECTRA GLIDE CLASSIC,2008,not_found,
FREIGHTLINER,MT 45 CHASSIS,2007,not_found,
YAMAHA,YZ450F,2009,not_found,
LINCOLN,LS,2003,not_found,
MERCEDES-BENZ,M-CLASS,2004,not_found,
TAIZHOU CHUANL MOTORCYCLE MANUFACTURING,LB150T-12,2008,not_found,
HYUNDAI,ACCENT,2001,No,0.0
HARLEY DAVIDSON,FLHRC / ROAD KING CLASSIC,2009,not_found,
PETERBILT,387,2006,not_found,
CADILLAC,SRX,2006,Standard,1.0
YAMAHA,XVS1100/A/AC/C/V-STAR 1100,2001,not_found,
ISUZU,NPR/NPR-HD,2002,not_found,
CHEVROLET,LUMINA,2000,No,0.0
HARLEY DAVIDSON,FLHRCI / ROAD KING CLASSIC,2004,not_found,
INTERNATIONAL,DF557,2002,not_found,
CADILLAC,DEVILLE,2000,No,0.0
ACURA,TSX,2008,Standard,1.0
CHEVROLET,AVALANCHE,2010,Standard,1.0
LEXUS,RX,2009,not_found,
YAMAHA,FZ6-S/FZ6-SC,2006,not_found,
HARLEY DAVIDSON,ROCKER C,2010,not_found,
LINCOLN,NAVIGATOR,2003,Optional,
KAWASAKI,NINJA ZX-6R,2009,not_found,
GMC,CANYON,2010,Standard,1.0
HUMMER,H3,2006,not_found,
CADILLAC,ESCALADE,2009,Standard,1.0
SUZUKI,GSX600FK,2003,not_found,
ISUZU,NQR/NRR,2008,not_found,
CHEVROLET,VENTURE,2001,No,0.0
SUZUKI,GSX-R600,2001,not_found,
PETERBILT,387,2005,not_found,
AUDI,A6,2005,not_found,
SATURN,LS2,2000,not_found,
KENWORTH,T800,2006,not_found,
PONTIAC,TORRENT,2009,Standard,1.0
FORD,E-450,2008,not_found,
LEXUS,GX,2006,not_found,
GMC,C5,2005,not_found,
HARLEY DAVIDSON,SOFTAIL CUSTOM,2007,not_found,
PETERBILT,357,2007,not_found,
BMW,530IA,2003,not_found,
YAMAHA,YZF-R6/YZF-R6C/R6,2002,not_found,
CHEVROLET,S-10 PICKUP,2004,not_found,
PONTIAC,BONNEVILLE,2002,Optional,
KENWORTH,T300,2007,not_found,
STERLING TRUCK,A9500 SERIES,2004,not_found,
ACURA,MDX,2003,Standard,1.0
FORD,E-150,2004,not_found,
VOLVO,V40,2004,No,0.0
INTERNATIONAL,SF547,2009,not_found,
TOYOTA,PRIUS,2006,Optional,
MACK,LEU,2010,not_found,
HARLEY DAVIDSON,FXDL / DYNA LOW RIDER,2002,not_found,
SUBARU,FORESTER,2007,No,0.0
KAWASAKI,NINJA 650R,2009,not_found,
KIA,SEPHIA II/SPECTRA,2000,not_found,
HONDA,VTX1300C (VTX),2005,not_found,
BUICK,REGAL,2003,No,0.0
MERCURY,MARINER,2010,Standard,1.0
MACK,GU,2010,not_found,
INTERNATIONAL,L9427,2006,not_found,
SUZUKI,AN400K,2003,not_found,
VOLVO,S60,2007,Standard,1.0
STERLING TRUCK,L7500 SERIES,2006,not_found,
NISSAN,ARMADA,2006,Standard,1.0
CHEVROLET,AVALANCHE,2009,Standard,1.0
FORD,F-450,2002,not_found,
HONDA,VT750 (SHADOW SPIRIT 750),2002,not_found,
SUBARU,BAJA,2006,No,0.0
TAIWAN GOLDEN BEE,LASER 303/303R/303RS,2005,not_found,
LEXUS,GX,2007,not_found,
JEEP,COMPASS,2009,Standard,1.0
HONDA,CMX250 (REBEL),2005,not_found,
CHEVROLET,TRAVERSE,2009,Standard,1.0
FREIGHTLINER,XB RAISED RAIL REAR ENGINE SHUTTLE BUS CHASSIS,2008,not_found,
NISSAN,PATHFINDER,2010,Standard,1.0
INTERNATIONAL,L9327,2007,not_found,
BLUE BIRD,BB CONVENTIONAL,2004,not_found,
AUDI,A6,2003,not_found,
CHRYSLER,CONCORDE,2004,No,0.0
